@10.0.0.1 20.0.0.1 1:1 20001:20001
@10.0.0.2 20.0.0.2 2:2 20002:20002
@10.0.0.3 20.0.0.3 3:3 20003:20003
@10.0.0.4 20.0.0.4 4:4 20004:20004
@10.0.0.5 20.0.0.5 5:5 20005:20005
@10.0.0.6 20.0.0.6 6:6 20006:20006
@10.0.0.7 20.0.0.7 7:7 20007:20007
@10.0.0.8 20.0.0.8 8:8 20008:20008
@10.0.0.9 20.0.0.9 9:9 20009:20009
@10.0.0.10 20.0.0.10 10:10 20010:20010
@10.0.0.11 20.0.0.11 11:11 20011:20011
@10.0.0.12 20.0.0.12 12:12 20012:20012
@10.0.0.13 20.0.0.13 13:13 20013:20013
@10.0.0.14 20.0.0.14 14:14 20014:20014
@10.0.0.15 20.0.0.15 15:15 20015:20015
@10.0.0.16 20.0.0.16 16:16 20016:20016
@10.0.0.17 20.0.0.17 17:17 20017:20017
@10.0.0.18 20.0.0.18 18:18 20018:20018
@10.0.0.19 20.0.0.19 19:19 20019:20019
@10.0.0.20 20.0.0.20 20:20 20020:20020
@10.0.0.21 20.0.0.21 21:21 20021:20021
@10.0.0.22 20.0.0.22 22:22 20022:20022
@10.0.0.23 20.0.0.23 23:23 20023:20023
@10.0.0.24 20.0.0.24 24:24 20024:20024
@10.0.0.25 20.0.0.25 25:25 20025:20025
@10.0.0.26 20.0.0.26 26:26 20026:20026
@10.0.0.27 20.0.0.27 27:27 20027:20027
@10.0.0.28 20.0.0.28 28:28 20028:20028
@10.0.0.29 20.0.0.29 29:29 20029:20029
@10.0.0.30 20.0.0.30 30:30 20030:20030
@10.0.0.31 20.0.0.31 31:31 20031:20031
@10.0.0.32 20.0.0.32 32:32 20032:20032
@10.0.0.33 20.0.0.33 33:33 20033:20033
@10.0.0.34 20.0.0.34 34:34 20034:20034
@10.0.0.35 20.0.0.35 35:35 20035:20035
@10.0.0.36 20.0.0.36 36:36 20036:20036
@10.0.0.37 20.0.0.37 37:37 20037:20037
@10.0.0.38 20.0.0.38 38:38 20038:20038
@10.0.0.39 20.0.0.39 39:39 20039:20039
@10.0.0.40 20.0.0.40 40:40 20040:20040
@10.0.0.41 20.0.0.41 41:41 20041:20041
@10.0.0.42 20.0.0.42 42:42 20042:20042
@10.0.0.43 20.0.0.43 43:43 20043:20043
@10.0.0.44 20.0.0.44 44:44 20044:20044
@10.0.0.45 20.0.0.45 45:45 20045:20045
@10.0.0.46 20.0.0.46 46:46 20046:20046
@10.0.0.47 20.0.0.47 47:47 20047:20047
@10.0.0.48 20.0.0.48 48:48 20048:20048
@10.0.0.49 20.0.0.49 49:49 20049:20049
@10.0.0.50 20.0.0.50 50:50 20050:20050
